#F f0_dabax.dat
#D Fri May  2 09:38:54 2008
#UT Parametrization of f0 (the non-dispersive part of the atomic scttering factor) vs sin(theta/lambda).
#UF0TYPE PARAMETRIZATION ; TABLE OR PARAMETRIZATION? 
#UIDL xf0
#C This file has been created using f0_xop.pro 
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://ftp.esrf.eu/pub/scisoft/DabaxFiles/
#UD Parametrization of f0 (the non-dispersive part of the atomic scttering factor) vs sin(theta/lambda).
#UD This file contains a Waasmaier&Kirfel-like parametrization 
#UD for the f0 data evaluated by Kissel using modified relativistic form
#UD factor [1]. For the fitting, model and the data error as in [2] are used.
#UD The parametrization was calculating by fitting the 
#UD original data in the RTAB database [1] (also in the DABAX file
#UD f0_mf_Kissel.dat) using the MPFIT IDL procedure of Markwardt
#UD (http://cow.physics.wisc.edu/~craigm/idl/idl.html) usind the 
#UD function [2]:
#UD    f0[k] = c + [SUM a_i*EXP(-b_i*(k^2)) ]
#UD                i=1,5
#UD
#UD  where k = sin(theta) / lambda and c, a_i and b_i
#UD  are the coefficients tabulated in this file (in columns:
#UD  a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UD 
#UD References
#UD [1] L. Kissel, Radiation physics and chemistry 59 (2000) 185-200
#UD     available at: 
#UD     http://www-phys.llnl.gov/Research/scattering/RTAB.html
#UD [2] D. Waasmaier & A. Kirfel (Acta Cryst. (1995). A51, 416-413)
#UD 
#UD 
#UD  Remarks:
#UD  1) This file contains data for only neutral atoms. For ionic states
#UD     other DABAX files (like f0_WaasKirf.dat) could be used. 
#UD  2) The coefficients in this file are prepared for xop2.1 and are
#UD     unpublished. Some fitting parameters can be found in the keywords
#UD     for each element. The IDL program used to create it is available
#UD     under request (contact srio@esrf.fr) 
#UD  3) We created this file for being used as a default for XOP2.1. The 
#UD     reasons were two:
#UD     i) It is more practical to use a parametrization rather than to use 
#UD        the direct fata in file f0_mf.dat because of spped and storage 
#UD        reasons. 
#UD     ii) The previous defaulty file for XOP 2.0 was f0_WaasKirf.dat, which
#UD        contained a published parametrization [2], but the original data 
#UD        is from the International Tables for X-ray Crystallography, vol C,
#UD        (1995) Edited by AJC Wilson, Kluwer Academic Press, table 6.1.1.3
#UD        which contains data from multiple origins (and references). We 
#UD        prefer to use evaluated data in the same conditions for all elements
#UD        to keep some consistency in their origin.
#UD        Additionally, Kissel data for f1f2 and CrossSec are also used in XOP.
#UD 
#UD Column description: a1  a2  a3  a4  a5  c  b1  b2  b3 b4  b5
#UD 
#UD 
#UD Modified 2005-05-02 srio@esrf.eu, fixed WaasKird data in guess keyword

#S  1  H 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           41
#UO MPFIT Parameter error: [0.028242309,0.020248385,0.014038977,0.028629525,0.0023277653,6.4330346e-05,0.86729996,1.7325327,0.37672770,3.1751691,0.12257234]
#UO MPFIT Standard Dev:    1.1616029e-05
#UO MPFIT Max relative dev:        10.269206
#UO MPFIT Average relative dev:       0.68612216
#UP MPFIT guess (Waasmaier&Kirfel) data:      0.41304800     0.29495300     0.18749100     0.08070100     0.02373600     0.00004900    15.56994600    32.39846800     5.71140400    61.88987400     1.33411800
     0.30426303     0.45440815     0.07977026     0.15268426     0.00871624     0.00006937     9.61768510    23.52152246     3.33237545    53.49579285     0.80301704
#UP MPFIT guess (Waasmaier&Kirfel) data:      3.51194300     2.77224400     0.67838500     0.91515900     1.08926100     0.03255700    10.68785900     4.38046600     0.09398200    27.25520300     0.31306600
     3.40542650     2.84112029     0.71156027     0.94857450     1.05115146     0.03584797     9.84065316     4.07801707     0.09701872    27.57669889     0.31753486
#S  10  Ne
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           10
#UO MPFIT Parameter error: [0.012301349,0.019749095,0.0090530676,0.011234409,0.0089321736,0.00090513934,0.034425791,0.0097822820,0.00083678967,0.10019532,0.0019371209]
#UO MPFIT Standard Dev:    0.00010011184
#UO MPFIT Max relative dev:      0.019961481
#UO MPFIT Average relative dev:     0.0013701636
#UP MPFIT guess (Waasmaier&Kirfel) data:      4.18374900     2.90572600     0.52051300     1.13564100     1.22806500     0.02557600     8.17545700     3.25253600     0.06329500    21.81391000     0.22495200
     3.93418627     3.17292749     0.78988890     1.08878497     0.96122888     0.04476065     7.82568355     3.17536738     0.08620371    22.24803408     0.27139624
#S  11  Na
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           21
#UO MPFIT Parameter error: [0.0073820342,0.0082362329,0.0049820313,0.00069834822,0.0042906164,0.00053967056,0.0039141290,0.012048048,0.00037619874,0.13832723,0.0032679105]
#UO MPFIT Standard Dev:     0.0016371913
#UO MPFIT Max relative dev:      0.055164507
#UO MPFIT Average relative dev:     0.0046937758
#UP MPFIT guess (Waasmaier&Kirfel) data:      4.91012700     3.08178300     1.26206700     1.09893800     0.56099100     0.07971200     3.28143400     9.11917800     0.10276300   132.01394700     0.40587800
     4.67888021     3.31246434     1.20302749     1.11030781     0.60080617     0.07903453     2.97160025     8.01401365     0.09917076   119.87596938     0.36875620
#S  12  Mg
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           22
#UO MPFIT Parameter error: [0.0097797215,0.0080000741,0.00042140232,0.0067205062,0.011050793,0.00024935888,0.0067390780,0.28132385,7.8678839e-05,0.23014769,0.0032535814]
#UO MPFIT Standard Dev:     0.0021508631
#UO MPFIT Max relative dev:       0.13665462
#UO MPFIT Average relative dev:      0.010581125
#UP MPFIT guess (Waasmaier&Kirfel) data:      4.70897100     1.19481400     1.55815700     1.17041300     3.23940300     0.12684200     4.87520700   108.50608100     0.11151600    48.29240800     1.92817100
     4.85834741     1.50402245     1.53555848     0.95416075     3.00404753     0.13060425     4.35307904    95.26343316     0.11044872    31.99246407     1.75670443
#S  13  Al
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           10
#UO MPFIT Parameter error: [0.012537082,0.0052685054,0.00046052639,0.0060045160,0.012955993,0.00032509618,0.0051052061,0.076899895,8.2981564e-05,0.38077557,0.0029285580]
#UO MPFIT Standard Dev:    0.00087736182
#UO MPFIT Max relative dev:      0.076215594
#UO MPFIT Average relative dev:     0.0059028836
#UP MPFIT guess (Waasmaier&Kirfel) data:      4.73079600     2.31395100     1.54198000     1.11756400     3.15475400     0.13950900     3.62893100    43.05116700     0.09596000   108.93238800     1.55591800
     4.68669359     2.38879059     1.52287056     1.07903978     3.16354871     0.14361992     3.40015051    36.83643520     0.09557493   114.27524168     1.47492947
#S  14  Si
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            8
#UO MPFIT Parameter error: [0.017371199,0.0057486838,0.00057743917,0.0064280011,0.017522374,0.00045452533,0.0042032449,0.044414012,9.5378418e-05,0.26813513,0.0034319157]
#UO MPFIT Standard Dev:    0.00028476605
#UO MPFIT Max relative dev:      0.041621457
#UO MPFIT Average relative dev:     0.0029038668
#UP MPFIT guess (Waasmaier&Kirfel) data:      5.27532900     3.19103800     1.51151400     1.35684900     2.51911400     0.14507300     2.63133800    33.73072800     0.08111900    86.28864300     1.17008700
     4.98816795     3.35710271     1.50292204     1.22172882     2.76143663     0.15142442     2.53600438    29.97580504     0.08254945    88.73513838     1.16712390
#S  15  P 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            6
#UO MPFIT Parameter error: [0.020302860,0.0057401072,0.00076299613,0.0063329229,0.020592658,0.00071842888,0.0041600214,0.026009430,0.00012429504,0.18346740,0.0030640807]
#UO MPFIT Standard Dev:    0.00015148159
#UO MPFIT Max relative dev:      0.018689241
#UO MPFIT Average relative dev:     0.0012559285
#UP MPFIT guess (Waasmaier&Kirfel) data:      1.95054100     4.14693000     1.49456000     1.52204200     5.72971100     0.15523300     0.90813900    27.04495200     0.07128000    67.52018700     1.98117300
     2.10509260     4.36716206     1.48028761     1.33409382     5.53780604     0.15604602     0.89460753    24.41881968     0.07145192    69.85860169     1.90671824
#S  16  S 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            9
#UO MPFIT Parameter error: [0.018129289,0.0059082709,0.0010073552,0.0064509345,0.017307413,0.0011516289,0.0019292067,0.017072623,0.00016616256,0.13969546,0.0048723770]
#UO MPFIT Standard Dev:    0.00027924635
#UO MPFIT Max relative dev:     0.0052631049
#UO MPFIT Average relative dev:    0.00083367406
#UP MPFIT guess (Waasmaier&Kirfel) data:      6.37215700     5.15456800     1.47373200     1.63507300     1.20937200     0.15472200     1.51434700    22.09252700     0.06137300    55.44517500     0.64692500
     6.20239600     5.39538819     1.45887725     1.42806579     1.33894393     0.15420384     1.46090299    20.14653917     0.06164271    56.73801104     0.64755460
#S  17  Cl
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           10
#UO MPFIT Parameter error: [0.0018852849,0.010003557,0.0056797423,0.0061165018,0.0075569087,0.0024679597,0.00029806521,0.00097753205,0.011012301,0.10305185,0.0056707488]
#UO MPFIT Standard Dev:    0.00057267795
#UO MPFIT Max relative dev:     0.0040539022
#UO MPFIT Average relative dev:     0.0010880014
#UP MPFIT guess (Waasmaier&Kirfel) data:      1.44607100     6.87060900     6.15180100     1.75034700     0.63416800     0.14677300     0.05235700     1.19316500    18.34341600    46.39839600     0.40100500
     1.42704046     6.77857375     6.41364632     1.52938606     0.68790919     0.13835865     0.05185139     1.14744676    16.83234374    47.08267330     0.39585031
#S  18  Ar
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           18
#UO MPFIT Parameter error: [0.00049294090,414.99648,414.99619,0.0057448495,0.00046819741,0.00074827446,0.00014107490,936.02403,16080.023,0.073130696,9.0232991e-05]
#UO MPFIT Standard Dev:     0.0017974078
#UO MPFIT Max relative dev:      0.040334747
#UO MPFIT Average relative dev:     0.0041411804
#UP MPFIT guess (Waasmaier&Kirfel) data:      7.18800400     6.63845400     0.45418000     1.92959300     1.52365400     0.26595400     0.95622100    15.33987700    15.33986200    39.04382300     0.06240900
     7.12496467     6.96362577     0.40535492     1.69961663     1.50025574     0.27745601     0.91908882    14.15475105    14.15474574    39.07709506     0.06417165
#S  19  K 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           13
#UO MPFIT Parameter error: [0.0056690686,0.00055535969,0.0049739090,0.0037159985,0.00068004979,0.0010980393,0.0056236052,0.00013441615,0.71888868,0.44824121,0.00010391532]
#UO MPFIT Standard Dev:     0.0017231663
#UO MPFIT Max relative dev:      0.019433996
#UO MPFIT Average relative dev:     0.0027038505
#UP MPFIT guess (Waasmaier&Kirfel) data:      8.16399100     7.14694500     1.07014000     0.87731600     1.48643400     0.25361400    12.81632300     0.80894500   210.32701100    39.59765200     0.05282100
     8.37197122     7.07989232     1.01347196     0.77223727     1.46667316     0.26287737    11.89949237     0.78056461   198.44072308    41.56210501     0.05445260
#S  20  Ca
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            8
#UO MPFIT Parameter error: [0.0013844945,0.0013873640,0.016908022,0.017954766,0.00059258173,0.0019549328,0.0020308317,0.00012375096,0.45439825,1.1608435,0.00011872900]
#UO MPFIT Standard Dev:     0.0026608339
#UO MPFIT Max relative dev:     0.0069816798
#UO MPFIT Average relative dev:     0.0022435641
#UP MPFIT guess (Waasmaier&Kirfel) data:      8.59365500     1.47732400     1.43625400     1.18283900     7.11325800     0.19625500    10.46064400     0.04189100    81.39038100   169.84783900     0.68809800
     8.64392994     1.46357896     1.56066861     1.05545005     7.04009562     0.19999674     9.69070226     0.04305143    72.04776233   166.55421240     0.66621783
#S  21  Sc
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            7
#UO MPFIT Parameter error: [0.0093582039,0.0022112449,0.010685617,0.0017895813,0.00067901613,0.0029076664,0.22959180,0.00014202602,0.51188184,0.0018953193,0.00011486250]
#UO MPFIT Standard Dev:     0.0023912053
#UO MPFIT Max relative dev:     0.0077254567
#UO MPFIT Average relative dev:     0.0023708257
#UP MPFIT guess (Waasmaier&Kirfel) data:      1.47656600     1.48727800     1.60018700     9.17746300     7.09975000     0.15776500    53.13102300     0.03532500   137.31948900     9.09803100     0.60210200
     1.68383652     1.47480433     1.37047425     9.24659290     7.02207943     0.16099853    49.92976638     0.03653814   134.31889317     8.45519757     0.58503649
#S  22  Ti
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            6
#UO MPFIT Parameter error: [0.0022486785,0.0036478127,0.0063795538,0.0079930354,0.00078493081,0.0044964153,0.0017719689,0.00016633634,0.14236679,0.32875843,0.00011251042]
#UO MPFIT Standard Dev:     0.0022506281
#UO MPFIT Max relative dev:      0.010196381
#UO MPFIT Average relative dev:     0.0024815368
#UP MPFIT guess (Waasmaier&Kirfel) data:      9.81852400     1.52264600     1.70310100     1.76877400     7.08255500     0.10247300     8.00187900     0.02976300    39.88542200   120.15799700     0.53240500
     9.88746586     1.50747326     1.90635535     1.54310395     7.00376164     0.10558296     7.44889667     0.03084452    38.16657035   115.68708856     0.51848158
#S  23  V 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            9
#UO MPFIT Parameter error: [0.0027355496,0.0061845104,0.0042890760,0.0060867218,0.00088967196,0.0071750434,0.0016360684,0.00019134413,0.091904589,0.22092524,0.00010960455]
#UO MPFIT Standard Dev:     0.0019765638
#UO MPFIT Max relative dev:      0.012516249
#UO MPFIT Average relative dev:     0.0025382138
#UP MPFIT guess (Waasmaier&Kirfel) data:     10.47357500     1.54788100     1.98638100     1.86561600     7.05625000     0.06774400     7.08194000     0.02604000    31.90967200   108.02284200     0.47488200
    10.51693874     1.57393530     2.16699802     1.69193955     6.98396214     0.01430187     6.58802517     0.02534021    30.05889048   101.44514004     0.46207981
#S  24  Cr
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           12
#UO MPFIT Parameter error: [0.0048410448,0.0083337900,0.0033728893,0.0037106694,0.0010425284,0.0095185289,0.0019105278,0.00022421466,0.045611989,0.20439468,0.00011170816]
#UO MPFIT Standard Dev:     0.0013872173
#UO MPFIT Max relative dev:      0.011212406
#UO MPFIT Average relative dev:     0.0022156790
#UP MPFIT guess (Waasmaier&Kirfel) data:     11.00706900     1.55547700     2.98529300     1.34785500     7.03477900     0.06551000     6.36628100     0.02398700    23.24483900   105.77449800     0.42936900
    11.07627441     1.58619669     2.93288168     1.37491086     6.96664643     0.00459082     5.94437112     0.02328655    20.59115302    96.88722975     0.41908215
#S  25  Mn
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           11
#UO MPFIT Parameter error: [0.0035460533,0.018112672,0.0028677711,0.0042084077,0.0011133166,0.019388316,0.0013516567,0.00024607625,0.044310268,0.12704230,0.00010306334]
#UO MPFIT Standard Dev:     0.0013750170
#UO MPFIT Max relative dev:      0.013615838
#UO MPFIT Average relative dev:     0.0024081466
#UP MPFIT guess (Waasmaier&Kirfel) data:     11.70954200     1.73341400     2.67314100     2.02336800     7.00318000    -0.14729300     5.59712000     0.01780000    21.78842000    89.51791400     0.38305400
    11.73712145     1.82995875     2.81141301     1.90065220     6.94066322    -0.28355091     5.23367741     0.01636240    20.53719746    82.01631881     0.37401385
#S  26  Fe
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            7
#UO MPFIT Parameter error: [0.0038987806,0.047321028,0.0028425615,0.0035571491,0.0012402340,0.048772558,0.0012302940,0.00028672674,0.031801692,0.099321198,0.00010309172]
#UO MPFIT Standard Dev:     0.0011349041
#UO MPFIT Max relative dev:      0.013460814
#UO MPFIT Average relative dev:     0.0023328365
#UP MPFIT guess (Waasmaier&Kirfel) data:     12.31109800     1.87662300     3.06617700     2.07045100     6.97518500    -0.30493100     5.00941500     0.01446100    18.74304000    82.76787600     0.34650600
    12.30434401     2.32437385     3.18807287     1.99400470     6.92612145    -0.80737786     4.69095987     0.01074597    17.39159075    74.61601310     0.33856083
#S  27  Co
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           11
#UO MPFIT Parameter error: [0.0041786333,0.29505397,0.0030480140,0.0031322153,0.0013672151,0.29667607,0.0011119486,0.00034281217,0.023886457,0.080685298,0.00010236602]
#UO MPFIT Standard Dev:     0.0010502739
#UO MPFIT Max relative dev:      0.015212263
#UO MPFIT Average relative dev:     0.0022672195
#UP MPFIT guess (Waasmaier&Kirfel) data:     12.91451000     2.48190800     3.46689400     2.10635100     6.96089200    -0.93657200     4.50713800     0.00912600    16.43812900    76.98732000     0.31441800
    12.87035966     4.43881362     3.58294665     2.06698965     6.91586723    -2.95253425     4.22745007     0.00461408    15.08330800    68.44820515     0.30788472
#S  28  Ni
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        5
#UO MPFIT Iterations:          500
#UO MPFIT Parameter error: [0.0046055829,0.0014844656,0.0034132392,0.0029477322,1834.2954,1834.2972,0.0010356125,0.00010142022,0.019244613,0.069071766,0.00039155993]
#UO MPFIT Standard Dev:    0.00096289964
#UO MPFIT Max relative dev:      0.013740578
#UO MPFIT Average relative dev:     0.0021494403
